Stats,,,,,,,,
Total Exited,2037,,,,,,,
Total Records,10000,,,,,,,
Exit Ratio,20.4%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
RowNumber,Exited,P_hat,Total Select,Total Percent Select,Random Select ,Random Select Percent,Model Select,Model Select Percent
6316,1,0.666449502,200,0.02,40.74,0.02,140,0.068728522
5001,0,0.664575846,201,0.0201,40.9437,0.0201,140,0.068728522
7160,1,0.664537658,202,0.0202,41.1474,0.0202,141,0.06921944
4893,1,0.663932026,203,0.0203,41.3511,0.0203,142,0.069710358
529,1,0.663369952,204,0.0204,41.5548,0.0204,143,0.070201276
1439,1,0.661952464,205,0.0205,41.7585,0.0205,144,0.070692194
2733,1,0.660450354,206,0.0206,41.9622,0.0206,145,0.071183112
7605,1,0.659770448,207,0.0207,42.1659,0.0207,146,0.07167403
8055,1,0.659583642,208,0.0208,42.3696,0.0208,147,0.072164948
6971,0,0.659433106,209,0.0209,42.5733,0.0209,147,0.072164948
9081,0,0.658874638,210,0.021,42.777,0.021,147,0.072164948
7773,1,0.658829882,211,0.0211,42.9807,0.0211,148,0.072655866
311,0,0.658631906,212,0.0212,43.1844,0.0212,148,0.072655866
8039,0,0.658556141,213,0.0213,43.3881,0.0213,148,0.072655866
4833,0,0.658260344,214,0.0214,43.5918,0.0214,148,0.072655866
3828,1,0.656493826,215,0.0215,43.7955,0.0215,149,0.073146784
2277,1,0.656374383,216,0.0216,43.9992,0.0216,150,0.073637703
9103,0,0.656004803,217,0.0217,44.2029,0.0217,150,0.073637703
7081,1,0.655633535,218,0.0218,44.4066,0.0218,151,0.074128621
7527,0,0.655628251,219,0.0219,44.6103,0.0219,151,0.074128621
1929,1,0.655451805,220,0.022,44.814,0.022,152,0.074619539
8485,1,0.653048709,221,0.0221,45.0177,0.0221,153,0.075110457
253,0,0.652147812,222,0.0222,45.2214,0.0222,153,0.075110457
6872,1,0.652047017,223,0.0223,45.4251,0.0223,154,0.075601375
2345,1,0.651223627,224,0.0224,45.6288,0.0224,155,0.076092293
5652,0,0.650937854,225,0.0225,45.8325,0.0225,155,0.076092293
2221,0,0.650422124,226,0.0226,46.0362,0.0226,155,0.076092293
9219,1,0.64973664,227,0.0227,46.2399,0.0227,156,0.076583211
1193,1,0.649249031,228,0.0228,46.4436,0.0228,157,0.077074129
3181,1,0.648420698,229,0.0229,46.6473,0.0229,158,0.077565047
7035,1,0.648163136,230,0.023,46.851,0.023,159,0.078055965
2095,0,0.647713504,231,0.0231,47.0547,0.0231,159,0.078055965
4224,1,0.647352199,232,0.0232,47.2584,0.0232,160,0.078546883
5116,1,0.647257235,233,0.0233,47.4621,0.0233,161,0.079037801
9784,0,0.647181673,234,0.0234,47.6658,0.0234,161,0.079037801
5389,1,0.646841223,235,0.0235,47.8695,0.0235,162,0.079528719
5511,1,0.646194861,236,0.0236,48.0732,0.0236,163,0.080019637
1329,1,0.645170432,237,0.0237,48.2769,0.0237,164,0.080510555
8763,1,0.644416964,238,0.0238,48.4806,0.0238,165,0.081001473
7303,0,0.643428587,239,0.0239,48.6843,0.0239,165,0.081001473
5943,1,0.643267188,240,0.024,48.888,0.024,166,0.081492391
3617,1,0.643093165,241,0.0241,49.0917,0.0241,167,0.081983309
7720,0,0.643015975,242,0.0242,49.2954,0.0242,167,0.081983309
8911,1,0.642758858,243,0.0243,49.4991,0.0243,168,0.082474227
4143,1,0.642701202,244,0.0244,49.7028,0.0244,169,0.082965145
6304,1,0.642487089,245,0.0245,49.9065,0.0245,170,0.083456063
4850,0,0.642322162,246,0.0246,50.1102,0.0246,170,0.083456063
5834,1,0.642318414,247,0.0247,50.3139,0.0247,171,0.083946981
2136,1,0.642311389,248,0.0248,50.5176,0.0248,172,0.084437899
7634,1,0.641819825,249,0.0249,50.7213,0.0249,173,0.084928817
8353,1,0.641721413,250,0.025,50.925,0.025,174,0.085419735
7329,1,0.641104099,251,0.0251,51.1287,0.0251,175,0.085910653
1994,1,0.641090599,252,0.0252,51.3324,0.0252,176,0.086401571
2348,1,0.640598859,253,0.0253,51.5361,0.0253,177,0.086892489
1123,1,0.640000381,254,0.0254,51.7398,0.0254,178,0.087383407
9039,1,0.639939464,255,0.0255,51.9435,0.0255,179,0.087874325
1599,1,0.63930006,256,0.0256,52.1472,0.0256,180,0.088365243
2595,1,0.638738998,257,0.0257,52.3509,0.0257,181,0.088856161
7704,0,0.638666294,258,0.0258,52.5546,0.0258,181,0.088856161
7159,1,0.638507089,259,0.0259,52.7583,0.0259,182,0.089347079
7267,1,0.637894282,260,0.026,52.962,0.026,183,0.089837997
5300,0,0.637821614,261,0.0261,53.1657,0.0261,183,0.089837997
2434,0,0.637624879,262,0.0262,53.3694,0.0262,183,0.089837997
6059,1,0.637196709,263,0.0263,53.5731,0.0263,184,0.090328915
159,0,0.636505195,264,0.0264,53.7768,0.0264,184,0.090328915
9477,0,0.636263562,265,0.0265,53.9805,0.0265,184,0.090328915
2576,1,0.636022245,266,0.0266,54.1842,0.0266,185,0.090819833
3550,1,0.635744456,267,0.0267,54.3879,0.0267,186,0.091310751
8745,1,0.635685744,268,0.0268,54.5916,0.0268,187,0.091801669
4344,1,0.635617102,269,0.0269,54.7953,0.0269,188,0.092292587
7719,1,0.634612911,270,0.027,54.999,0.027,189,0.092783505
2857,1,0.632990235,271,0.0271,55.2027,0.0271,190,0.093274423
4115,1,0.632832047,272,0.0272,55.4064,0.0272,191,0.093765341
8551,1,0.632828871,273,0.0273,55.6101,0.0273,192,0.094256259
9720,1,0.632502282,274,0.0274,55.8138,0.0274,193,0.094747177
9493,1,0.632428915,275,0.0275,56.0175,0.0275,194,0.095238095
2761,0,0.632346645,276,0.0276,56.2212,0.0276,194,0.095238095
5491,0,0.632190806,277,0.0277,56.4249,0.0277,194,0.095238095
671,0,0.632179206,278,0.0278,56.6286,0.0278,194,0.095238095
631,1,0.631278922,279,0.0279,56.8323,0.0279,195,0.095729013
852,1,0.631204569,280,0.028,57.036,0.028,196,0.096219931
3611,1,0.630372795,281,0.0281,57.2397,0.0281,197,0.096710849
1166,0,0.62951201,282,0.0282,57.4434,0.0282,197,0.096710849
6507,1,0.629430395,283,0.0283,57.6471,0.0283,198,0.097201767
7085,1,0.628966177,284,0.0284,57.8508,0.0284,199,0.097692685
2439,1,0.628908511,285,0.0285,58.0545,0.0285,200,0.098183603
6233,1,0.627828571,286,0.0286,58.2582,0.0286,201,0.098674521
1449,1,0.627493936,287,0.0287,58.4619,0.0287,202,0.099165439
7899,0,0.626887809,288,0.0288,58.6656,0.0288,202,0.099165439
3640,1,0.626579939,289,0.0289,58.8693,0.0289,203,0.099656357
6047,0,0.625824545,290,0.029,59.073,0.029,203,0.099656357
1612,1,0.625621292,291,0.0291,59.2767,0.0291,204,0.100147275
3594,0,0.625155875,292,0.0292,59.4804,0.0292,204,0.100147275
3390,1,0.624991546,293,0.0293,59.6841,0.0293,205,0.100638193
7207,0,0.624974632,294,0.0294,59.8878,0.0294,205,0.100638193
7766,0,0.624189752,295,0.0295,60.0915,0.0295,205,0.100638193
4993,1,0.623972874,296,0.0296,60.2952,0.0296,206,0.101129111
3284,0,0.623893344,297,0.0297,60.4989,0.0297,206,0.101129111
7203,0,0.623760469,298,0.0298,60.7026,0.0298,206,0.101129111
5515,1,0.623284035,299,0.0299,60.9063,0.0299,207,0.101620029
5332,1,0.623202414,300,0.03,61.11,0.03,208,0.102110947
1071,1,0.622543251,301,0.0301,61.3137,0.0301,209,0.102601865
8953,1,0.621656082,302,0.0302,61.5174,0.0302,210,0.103092784
9895,0,0.621492441,303,0.0303,61.7211,0.0303,210,0.103092784
3783,1,0.62149218,304,0.0304,61.9248,0.0304,211,0.103583702
9735,0,0.621217364,305,0.0305,62.1285,0.0305,211,0.103583702
3619,1,0.621157006,306,0.0306,62.3322,0.0306,212,0.10407462
71,1,0.620806067,307,0.0307,62.5359,0.0307,213,0.104565538
4002,1,0.620739718,308,0.0308,62.7396,0.0308,214,0.105056456
3914,1,0.620259871,309,0.0309,62.9433,0.0309,215,0.105547374
6892,1,0.620051114,310,0.031,63.147,0.031,216,0.106038292
4022,1,0.619053776,311,0.0311,63.3507,0.0311,217,0.10652921
3957,0,0.618984958,312,0.0312,63.5544,0.0312,217,0.10652921
7478,1,0.618104612,313,0.0313,63.7581,0.0313,218,0.107020128
3362,0,0.617478271,314,0.0314,63.9618,0.0314,218,0.107020128
5224,0,0.615828586,315,0.0315,64.1655,0.0315,218,0.107020128
4668,1,0.614550704,316,0.0316,64.3692,0.0316,219,0.107511046
1982,0,0.614463186,317,0.0317,64.5729,0.0317,219,0.107511046
9737,0,0.614162988,318,0.0318,64.7766,0.0318,219,0.107511046
8344,1,0.614107336,319,0.0319,64.9803,0.0319,220,0.108001964
1374,1,0.61393011,320,0.032,65.184,0.032,221,0.108492882
6256,1,0.613411864,321,0.0321,65.3877,0.0321,222,0.1089838
6275,1,0.612919085,322,0.0322,65.5914,0.0322,223,0.109474718
5818,0,0.612728868,323,0.0323,65.7951,0.0323,223,0.109474718
7317,1,0.610449406,324,0.0324,65.9988,0.0324,224,0.109965636
5137,0,0.610119436,325,0.0325,66.2025,0.0325,224,0.109965636
3410,1,0.610052017,326,0.0326,66.4062,0.0326,225,0.110456554
6053,0,0.609874392,327,0.0327,66.6099,0.0327,225,0.110456554
8305,0,0.608060753,328,0.0328,66.8136,0.0328,225,0.110456554
793,0,0.606773769,329,0.0329,67.0173,0.0329,225,0.110456554
8709,0,0.606415651,330,0.033,67.221,0.033,225,0.110456554
7227,0,0.606289763,331,0.0331,67.4247,0.0331,225,0.110456554
9053,1,0.605940813,332,0.0332,67.6284,0.0332,226,0.110947472
6290,1,0.605436391,333,0.0333,67.8321,0.0333,227,0.11143839
8226,1,0.60531263,334,0.0334,68.0358,0.0334,228,0.111929308
2262,0,0.60463652,335,0.0335,68.2395,0.0335,228,0.111929308
735,1,0.60445251,336,0.0336,68.4432,0.0336,229,0.112420226
970,0,0.604429833,337,0.0337,68.6469,0.0337,229,0.112420226
4362,1,0.604356804,338,0.0338,68.8506,0.0338,230,0.112911144
4281,1,0.604261189,339,0.0339,69.0543,0.0339,231,0.113402062
7092,1,0.603864966,340,0.034,69.258,0.034,232,0.11389298
1390,1,0.603332341,341,0.0341,69.4617,0.0341,233,0.114383898
9402,1,0.603246724,342,0.0342,69.6654,0.0342,234,0.114874816
8020,0,0.603222325,343,0.0343,69.8691,0.0343,234,0.114874816
7549,0,0.603059975,344,0.0344,70.0728,0.0344,234,0.114874816
9022,0,0.602884229,345,0.0345,70.2765,0.0345,234,0.114874816
4360,0,0.602622764,346,0.0346,70.4802,0.0346,234,0.114874816
4598,1,0.602414596,347,0.0347,70.6839,0.0347,235,0.115365734
9325,0,0.602085758,348,0.0348,70.8876,0.0348,235,0.115365734
8695,0,0.601845356,349,0.0349,71.0913,0.0349,235,0.115365734
5932,1,0.601215442,350,0.035,71.295,0.035,236,0.115856652
9983,1,0.601150764,351,0.0351,71.4987,0.0351,237,0.11634757
9754,0,0.600820956,352,0.0352,71.7024,0.0352,237,0.11634757
4439,0,0.600682702,353,0.0353,71.9061,0.0353,237,0.11634757
8663,1,0.600416083,354,0.0354,72.1098,0.0354,238,0.116838488
8735,1,0.599250422,355,0.0355,72.3135,0.0355,239,0.117329406
539,1,0.597437941,356,0.0356,72.5172,0.0356,240,0.117820324
7025,0,0.597086622,357,0.0357,72.7209,0.0357,240,0.117820324
250,1,0.596227768,358,0.0358,72.9246,0.0358,241,0.118311242
4500,0,0.596129996,359,0.0359,73.1283,0.0359,241,0.118311242
9403,0,0.59612436,360,0.036,73.332,0.036,241,0.118311242
2718,0,0.59562747,361,0.0361,73.5357,0.0361,241,0.118311242
2541,1,0.59539604,362,0.0362,73.7394,0.0362,242,0.11880216
6893,1,0.594219275,363,0.0363,73.9431,0.0363,243,0.119293078
7515,1,0.593030503,364,0.0364,74.1468,0.0364,244,0.119783996
4670,1,0.592917495,365,0.0365,74.3505,0.0365,245,0.120274914
2460,1,0.592124643,366,0.0366,74.5542,0.0366,246,0.120765832
6900,1,0.591913023,367,0.0367,74.7579,0.0367,247,0.12125675
5822,1,0.591873788,368,0.0368,74.9616,0.0368,248,0.121747668
6100,1,0.591665483,369,0.0369,75.1653,0.0369,249,0.122238586
752,0,0.591653713,370,0.037,75.369,0.037,249,0.122238586
9821,0,0.591412236,371,0.0371,75.5727,0.0371,249,0.122238586
9322,1,0.590922809,372,0.0372,75.7764,0.0372,250,0.122729504
1905,0,0.590539374,373,0.0373,75.9801,0.0373,250,0.122729504
2540,1,0.590375414,374,0.0374,76.1838,0.0374,251,0.123220422
7089,1,0.589292881,375,0.0375,76.3875,0.0375,252,0.12371134
6358,0,0.587154589,376,0.0376,76.5912,0.0376,252,0.12371134
9558,0,0.587043513,377,0.0377,76.7949,0.0377,252,0.12371134
2269,1,0.58702663,378,0.0378,76.9986,0.0378,253,0.124202258
5033,0,0.586761067,379,0.0379,77.2023,0.0379,253,0.124202258
9411,0,0.586606854,380,0.038,77.406,0.038,253,0.124202258
7397,1,0.586297303,381,0.0381,77.6097,0.0381,254,0.124693176
7774,1,0.585707366,382,0.0382,77.8134,0.0382,255,0.125184094
9820,1,0.585681478,383,0.0383,78.0171,0.0383,256,0.125675012
8563,1,0.585427508,384,0.0384,78.2208,0.0384,257,0.12616593
7004,1,0.585315516,385,0.0385,78.4245,0.0385,258,0.126656848
